user	condition	trial	RTech	ViewCtrl	Release	T0	T1	TT	D0	D1	A0	A1	C0	C1	CC	HD0	HD1	HA0	HA1	TE0	TE1	RE0	RE1	NOA	
4	6	3	0	1	0	1	3.544434	32.59961	36.14404	0.9291237	0.03575031	115.4394	2.099196	1	7	8	1.177711	2.699494	198.277	991.6483	0.5296669	0.06408793	0.2083981	0.08802238	1	
4	7	1	0	1	1	0	2.859375	27.44434	30.30371	0.9999455	0.02493135	151.4815	0.4829489	0	5	5	1.025619	0.8965058	209.7845	344.0596	0.6358281	0.4260848	0.4067592	0.3652812	1	
4	7	2	0	1	1	0	3.223633	43.06689	46.29053	0.9033095	0.01369236	108.6461	1.592952	1	6	7	0.7469985	1.816617	99.52506	545.8542	0.7975678	0.1286513	0.5198829	0.1813051	1	
4	7	3	0	1	1	0	1.275391	41.37793	42.65332	0.8560659	0.01215104	120.8497	1.900362	0	6	6	0.6451238	2.073299	121.2047	752.4671	0.8481113	0.1304206	0.424883	0.1185434	1	
4	8	1	0	1	1	1	2.584473	17.1001	19.68457	0.9871646	0.02924753	81.99876	1.738163	1	2	3	0.7630027	1.027276	116.8649	419.2861	0.8139365	0.2172872	0.6691717	0.1458282	1	
4	8	2	0	1	1	1	5.231934	27.42236	32.6543	0.9607334	0.02823004	170.472	3.081824	1	6	7	1.912609	1.354253	332.523	721.0157	0.3886451	0.2287791	0.1395885	0.163583	1	
4	8	3	0	1	1	1	1.642578	35.7334	37.37598	0.9941829	0.01551868	129.643	0.9099901	0	6	6	0.6967461	2.197985	134.2247	808.2024	0.863024	0.1690597	0.4949335	0.1386549	1	
5	1	1	0	0	0	0	11.97559	10.3667	22.34229	1.543443	0.06040405	29.30562	2.54114	5	1	6	1.250007	0.7070034	321.7691	314.938	0.8944604	0.6856344	0.4754839	0.09090447	1	
5	1	2	0	0	0	0	6.512695	25.1665	31.6792	0.9965606	0.2156718	98.95485	2.078963	3	3	6	0.9993928	1.860298	199.0133	686.8787	0.8354942	0.1640471	0.5123037	0.1438662	1	
5	1	3	0	0	0	0	7.189453	21.32227	28.51172	0.9927418	0.1105142	103.0315	1.835838	3	5	8	0.9983521	1.541548	262.1441	743.2183	0.8732618	0.2055193	0.6859062	0.1382187	1	
5	2	1	0	0	0	1	2.529297	11.88916	14.41846	0.9884868	0.7447868	69.43024	6.692531	3	3	6	0.6855904	1.365754	144.2524	445.8608	0.8222265	0.2069993	0.599105	0.1543266	1	
5	2	2	0	0	0	1	3.197754	13.44434	16.64209	0.9904252	0.155115	34.25791	3.773986	3	3	6	0.7299243	0.8274072	232.9657	273.9602	0.9122343	0.4998212	0.5110325	0.1301132	1	
5	2	3	0	0	0	1	5.294434	12.76709	18.06152	1.090932	0.05428614	29.02316	2.115538	3	3	6	1.249036	1.4767	534.3194	516.7741	0.7666234	0.1511094	0.2480914	0.05438989	1	
5	3	1	0	0	1	0	11.29785	15.6001	26.89795	1.483536	0.09846852	29.50731	8.088665	4	2	6	1.41128	0.989862	363.9202	293.9711	0.8536713	0.4180847	0.4139018	0.1232509	1	
5	3	2	0	0	1	0	6.155762	36.3335	42.48926	0.9810523	0.1812521	147.3622	1.328815	2	6	8	0.9110204	3.583537	200.841	1044.115	0.7757089	0.05444414	0.7227083	0.1407116	1	
5	3	3	0	0	1	0	6.741699	22.2334	28.9751	0.9992185	0.4018346	151.8869	1.072637	3	5	8	1.018861	1.403829	230.538	783.6167	0.7629496	0.2401467	0.7722208	0.1947026	1	
5	4	1	0	0	1	1	3.842773	14.44482	18.2876	0.8196046	0.04072007	56.36171	2.127345	2	4	6	1.326137	1.231697	285.8224	602.1252	0.5359542	0.1130616	0.4800769	0.09351714	1	
5	4	2	0	0	1	1	3.626465	13.68896	17.31543	0.9562672	0.1386921	139.8918	3.659194	2	2	4	0.8758456	1.676434	196.521	665.8147	0.8227301	0.1055389	0.7225665	0.2075141	1	
5	4	3	0	0	1	1	2.128418	35.52197	37.65039	0.9411309	0.007420142	96.18728	1.154182	1	16	17	0.7187883	4.481872	160.2896	2483.93	0.8644608	0.03078807	0.7965093	0.03874736	1	
5	5	1	0	1	0	0	16.84277	20.33301	37.17578	0.9784508	0.08741815	127.84	3.805795	5	1	6	2.105747	1.527291	560.4727	853.1816	0.4352342	0.242953	0.1456728	0.101738	1	
5	5	2	0	1	0	0	10.41748	13.2998	23.71729	0.9728097	0.3896778	93.54147	1.286924	2	2	4	2.22392	0.9268997	475.192	341.041	0.2931002	0.3647608	0.09023691	0.2421631	1	
5	5	3	0	1	0	0	7.501953	8.955566	16.45752	4.816649	0.09269981	29.36175	2.22095	2	1	3	1.886649	1.097727	497.0151	251.4743	0.4108718	0.4205256	0.1552802	0.09053011	1	
5	6	1	0	1	0	1	3.219238	19.5332	22.75244	2.711906	0.04860106	29.34804	4.567239	1	2	3	0.5696557	1.790903	121.5879	710.5007	0.9082553	0.258738	0.6447365	0.03084738	1	
5	6	2	0	1	0	1	3.018066	23.7334	26.75146	0.8604886	0.4217017	169.0483	4.047428	2	1	3	0.793129	1.907314	187.7488	719.1458	0.8161073	0.0974353	0.6229056	0.2082733	1	
5	6	3	0	1	0	1	10.92432	12.48877	23.41309	2.262709	0.04309742	29.78622	4.444222	4	2	6	2.162766	1.311616	888.5632	374.1679	0.6931121	0.4348361	0.09564194	0.07433707	1	
5	7	1	0	1	1	0	4.393066	35.15576	39.54883	10.35149	0.04006007	29.82064	2.202902	1	4	5	0.2457822	2.595348	78.54787	1275.332	0.8832675	0.6679041	0.9026901	0.01562589	1	
5	7	2	0	1	1	0	16.96143	14.37744	31.33887	0.9990613	0.2731439	82.55344	3.994864	3	2	5	1.974573	0.9575571	857.6288	329.1582	0.7113893	0.3727401	0.1176137	0.2310949	1	
5	7	3	0	1	1	0	5.646484	18.32227	23.96875	0.9932229	0.1353347	134.7688	4.900009	2	2	4	0.8896357	1.306247	213.9749	586.5786	0.8761809	0.1739735	0.2911584	0.1478399	1	
5	8	1	0	1	1	1	4.084473	15	19.08447	0.9892547	0.03527431	51.89688	2.328313	4	2	6	0.9053399	1.039564	203.4002	440.717	0.6711306	0.2768292	0.5452042	0.1019714	1	
5	8	2	0	1	1	1	2.349121	12.85547	15.20459	0.9818746	0.03775769	135.1238	3.517392	3	1	4	0.6324744	1.164555	151.5825	417.3267	0.8567014	0.1968453	0.5925555	0.2369638	1	
5	8	3	0	1	1	1	2.350586	14.04443	16.39502	0.9999606	0.4198309	80.23658	2.256264	3	4	7	0.676966	1.101509	176.4605	520.7328	0.9198815	0.3298638	0.7663339	0.09990381	1	
6	1	1	0	0	0	0	7.511719	16.47852	23.99023	0.8707255	0.306787	48.65953	6.428978	2	2	4	0.9338276	1.169502	157.8733	430.4973	0.710537	0.1749785	0.6237338	0.1265758	1	
6	1	2	0	0	0	0	4.347656	15.34375	19.69141	0.9986726	0.1284328	116.0659	6.117405	1	3	4	0.8622405	1.179794	119.0643	452.5341	0.7587833	0.2257143	0.4574481	0.2540858	1	
6	1	3	0	0	0	0	7.304688	51.92188	59.22656	0.9900631	0.3401253	122.363	5.059742	3	10	13	1.131621	2.516802	289.3585	1233.558	0.7186296	0.1092929	0.3382794	0.09990451	6	
6	2	1	0	0	0	1	10.33301	17.51074	27.84375	1.177505	0.8852752	29.74045	4.124259	3	3	6	1.627614	0.7882808	425.0504	207.2553	0.6777031	0.1882056	0.296911	0.1423748	3	
6	2	2	0	0	0	1	2.972656	13.18848	16.16113	0.9871083	0.04968747	103.9485	7.499864	1	5	6	0.8191117	1.506016	134.796	475.6085	0.7600439	0.1010245	0.499943	0.224529	1	
6	2	3	0	0	0	1	5.119141	22.54492	27.66406	0.9655624	0.8834524	141.8346	14.3369	3	10	13	1.047872	1.534287	208.04	575.2474	0.8455245	0.2081935	0.5788713	0.2314432	1	
6	3	1	0	0	1	0	4.560547	28.58887	33.14941	0.9715306	0.0358675	47.80597	9.816479	1	6	7	1.025799	1.645143	196.4843	793.656	0.5577183	0.1878414	0.477607	0.0638404	2	
6	3	2	0	0	1	0	7.057617	7.333008	14.39063	0.9983895	0.0612781	141.4724	13.11352	2	0	2	0.7870556	0.6347899	121.929	266.072	0.8112602	0.3992568	0.6689844	0.5416989	1	
6	3	3	0	0	1	0	4.005859	102.7002	106.7061	0.991064	0.08833463	115.1252	3.946958	1	25	26	0.8368348	5.202339	130.7477	2718.213	0.8154599	0.04967043	0.6656851	0.04178622	1	
